id_jogo,status,data,sede,fase,selecao_a,gols_a,gols_b,selecao_b
1,Agendado,11/6/2026,Cidade do México,Grupo,México,,,África do Sul
2,Agendado,11/6/2026,Guadalajara,Grupo,Coreia do Sul,,,Tchéquia
3,Agendado,18/6/2026,Guadalajara,Grupo,México,,,Coreia do Sul
4,Agendado,18/6/2026,Atlanta,Grupo,África do Sul,,,Tchéquia
5,Agendado,24/6/2026,Cidade do México,Grupo,México,,,Tchéquia
6,Agendado,24/6/2026,Monterrey,Grupo,Coreia do Sul,,,África do Sul
7,Agendado,12/6/2026,Toronto,Grupo,Canadá,,,Bósnia e Herzegovina
8,Agendado,13/6/2026,São Francisco,Grupo,Catar,,,Suíça
9,Agendado,18/6/2026,Vancouver,Grupo,Canadá,,,Catar
10,Agendado,18/6/2026,Los Angeles,Grupo,Suíça,,,Bósnia e Herzegovina
11,Agendado,24/6/2026,Vancouver,Grupo,Canadá,,,Suíça
12,Agendado,24/6/2026,Seattle,Grupo,Catar,,,Bósnia e Herzegovina
13,Agendado,13/6/2026,Nova Jersey,Grupo,Brasil,,,Marrocos
14,Agendado,13/6/2026,Boston,Grupo,Haiti,,,Escócia
15,Agendado,19/6/2026,Filadélfia,Grupo,Brasil,,,Haiti
16,Agendado,19/6/2026,Boston,Grupo,Marrocos,,,Escócia
17,Agendado,24/6/2026,Miami,Grupo,Brasil,,,Escócia
18,Agendado,24/6/2026,Atlanta,Grupo,Marrocos,,,Haiti
19,Agendado,12/6/2026,Los Angeles,Grupo,Estados Unidos,,,Paraguai
20,Agendado,13/6/2026,Vancouver,Grupo,Austrália,,,Turquia
21,Agendado,19/6/2026,Seattle,Grupo,Estados Unidos,,,Austrália
22,Agendado,19/6/2026,São Francisco,Grupo,Paraguai,,,Turquia
23,Agendado,25/6/2026,Los Angeles,Grupo,Estados Unidos,,,Turquia
24,Agendado,25/6/2026,São Francisco,Grupo,Paraguai,,,Austrália
25,Agendado,14/6/2026,Houston,Grupo,Alemanha,,,Curaçao
26,Agendado,14/6/2026,Filadélfia,Grupo,Costa do Marfim,,,Equador
27,Agendado,20/6/2026,Toronto,Grupo,Alemanha,,,Costa do Marfim
28,Agendado,20/6/2026,Kansas,Grupo,Equador,,,Curaçao
29,Agendado,25/6/2026,Nova Jersey,Grupo,Alemanha,,,Equador
30,Agendado,25/6/2026,Filadélfia,Grupo,Costa do Marfim,,,Curaçao
31,Agendado,14/6/2026,Dallas,Grupo,Holanda,,,Japão
32,Agendado,14/6/2026,Monterrey,Grupo,Tunísia,,,Suécia
33,Agendado,20/6/2026,Houston,Grupo,Holanda,,,Suécia
34,Agendado,20/6/2026,Monterrey,Grupo,Japão,,,Tunísia
35,Agendado,25/6/2026,Kansas,Grupo,Holanda,,,Tunísia
36,Agendado,25/6/2026,Dallas,Grupo,Japão,,,Suécia
37,Agendado,15/6/2026,Seattle,Grupo,Bélgica,,,Egito
38,Agendado,15/6/2026,Los Angeles,Grupo,Irã,,,Nova Zelândia
